Date,Open,High,Low,Close,Adj Close,Volume
2022-05-11,149.539993,151.449997,148.050003,148.190002,145.880127,2118900
2022-05-12,147.529999,148.929993,146.009995,148.360001,146.047470,2526300
2022-05-13,149.550003,151.089996,149.199997,150.660004,148.311615,1386500
2022-05-16,150.149994,151.649994,149.160004,150.490005,148.144272,1188800
2022-05-17,152.330002,152.960007,151.300003,152.830002,150.447800,1014000
2022-05-18,151.199997,151.350006,146.179993,146.639999,144.354279,1987400
2022-05-19,145.210007,146.710007,143.970001,145.210007,142.946579,2352400
2022-05-20,146.330002,146.570007,142.679993,145.800003,143.527374,1800500
2022-05-23,146.919998,148.600006,146.380005,148.300003,145.988419,1177400
2022-05-24,147.500000,149.020004,146.130005,148.630005,146.313263,1369300
2022-05-25,148.240005,150.020004,147.880005,149.369995,147.041733,1080800
2022-05-26,150.259995,152.639999,150.259995,151.949997,149.581512,1695800
2022-05-27,152.589996,154.820007,152.589996,154.800003,152.387085,1103200
2022-05-31,153.869995,154.750000,152.300003,153.750000,151.353455,1704400
2022-06-01,154.210007,154.259995,151.089996,152.039993,149.670105,1101700
2022-06-02,152.220001,154.649994,151.119995,154.600006,152.190216,878100
2022-06-03,153.220001,153.880005,152.660004,152.869995,150.487167,939000
2022-06-06,154.070007,154.830002,152.800003,153.119995,150.733261,1079400
2022-06-07,151.770004,154.520004,151.770004,154.360001,151.953964,1133000
2022-06-08,153.589996,153.970001,152.089996,152.339996,149.965439,818700
2022-06-09,151.729996,152.800003,149.580002,149.610001,147.277985,955800
2022-06-10,147.309998,147.570007,145.960007,146.100006,143.822708,2132800
2022-06-13,143.139999,144.029999,141.380005,142.009995,139.796448,3522700
2022-06-14,142.570007,142.869995,139.979996,141.039993,138.841568,2967400
2022-06-15,142.289993,144.119995,140.250000,142.410004,140.190216,1801400
2022-06-16,139.759995,139.759995,137.740005,138.649994,136.488815,2533500
2022-06-17,138.789993,139.759995,137.500000,138.639999,136.478973,3362800
2022-06-21,139.919998,141.460007,139.720001,140.970001,139.471848,2212000
2022-06-22,139.449997,142.360001,139.429993,141.110001,139.610352,1677600
2022-06-23,141.619995,142.669998,140.850006,142.500000,140.985580,1833700
2022-06-24,143.529999,146.470001,143.529999,146.470001,144.913391,1848200
2022-06-27,146.639999,146.979996,145.720001,146.169998,144.616562,2239000
2022-06-28,146.759995,147.830002,143.570007,143.660004,142.133240,1608400
2022-06-29,143.830002,144.309998,143.029999,143.850006,142.321228,1080600
2022-06-30,142.449997,144.270004,141.570007,143.470001,141.945267,1622800
2022-07-01,143.229996,145.110001,142.350006,144.839996,143.300705,1143100
2022-07-05,143.220001,144.149994,141.330002,144.119995,142.588348,2784300
2022-07-06,144.190002,145.740005,143.779999,144.860001,143.320480,1024500
2022-07-07,145.509995,146.300003,145.130005,146.029999,144.478058,1002400
2022-07-08,145.820007,146.550003,145.149994,145.869995,144.319763,1165000
2022-07-11,145.080002,145.919998,144.779999,145.110001,143.567841,1510300
2022-07-12,144.839996,145.880005,143.350006,143.949997,142.420166,2713400
2022-07-13,142.339996,144.259995,142.000000,143.309998,141.786957,1741000
2022-07-14,141.440002,143.160004,140.660004,142.970001,141.450577,1857500
2022-07-15,144.669998,145.570007,144.039993,145.529999,143.983368,2270200
2022-07-18,146.479996,146.559998,143.729996,144.130005,142.598251,2850900
2022-07-19,145.520004,147.750000,145.429993,147.539993,145.972000,1477400
2022-07-20,147.399994,148.110001,146.729996,147.630005,146.061050,1482500
2022-07-21,147.529999,148.929993,146.839996,148.919998,147.337357,1204300
2022-07-22,149.309998,149.699997,147.720001,148.679993,147.099899,3097500
2022-07-25,149.000000,149.270004,148.119995,148.990005,147.406601,1724500
2022-07-26,148.169998,148.410004,147.559998,147.910004,146.338074,1461900
2022-07-27,148.600006,150.850006,148.360001,150.240005,148.643326,927500
2022-07-28,150.270004,152.649994,149.580002,152.330002,150.711105,1093800
2022-07-29,151.990005,153.539993,151.919998,153.220001,151.591644,1262400
2022-08-01,152.279999,153.639999,152.199997,153.080002,151.453125,2265400
2022-08-02,152.710007,153.470001,151.570007,151.850006,150.236206,1195100
2022-08-03,152.429993,154.070007,151.919998,153.649994,152.017075,863000
2022-08-04,153.649994,153.979996,153.289993,153.669998,152.036865,877700
2022-08-05,152.399994,154.000000,152.399994,153.919998,152.284195,1001500
2022-08-08,154.539993,154.979996,153.419998,153.779999,152.145691,1208000
2022-08-09,153.630005,153.889999,152.869995,153.160004,151.532288,809600
2022-08-10,155.210007,156.050003,155.089996,155.750000,154.094757,1030000
2022-08-11,156.479996,157.250000,155.509995,155.710007,154.055191,1044800
2022-08-12,156.369995,158.000000,156.130005,157.949997,156.271378,834700
2022-08-15,157.289993,159.000000,157.179993,158.770004,157.082657,1442700
2022-08-16,158.509995,160.279999,158.389999,159.660004,157.963211,946400
2022-08-17,158.309998,159.300003,157.880005,158.639999,156.954041,854800
2022-08-18,158.679993,159.410004,158.440002,159.149994,157.458618,673200
2022-08-19,158.470001,158.479996,157.300003,157.690002,156.014145,909400
2022-08-22,156.100006,156.339996,154.520004,154.839996,153.194427,1316100
2022-08-23,154.660004,154.949997,153.699997,153.839996,152.205048,870900
2022-08-24,153.839996,154.610001,153.479996,154.050003,152.412827,706200
2022-08-25,154.529999,155.929993,154.080002,155.929993,154.272842,935600
2022-08-26,155.929993,156.100006,151.070007,151.130005,149.523865,971000
2022-08-29,150.220001,151.339996,149.630005,150.309998,148.712570,1325900
2022-08-30,150.720001,150.880005,148.350006,148.960007,147.376938,1501800
2022-08-31,149.449997,149.869995,147.880005,147.929993,146.357864,881600
2022-09-01,147.339996,148.869995,146.580002,148.759995,147.179047,2060900
2022-09-02,150.089996,150.490005,146.449997,147.110001,145.546585,1039700
2022-09-06,147.460007,148.229996,146.160004,146.960007,145.398178,1575400
2022-09-07,146.979996,149.910004,146.979996,149.630005,148.039795,1093200
2022-09-08,148.929993,150.669998,148.389999,150.649994,149.048950,1233400
2022-09-09,151.259995,152.630005,151.089996,152.289993,150.671524,1399400
2022-09-12,153.110001,153.800003,152.669998,153.309998,151.680679,1304400
2022-09-13,150.699997,150.880005,147.199997,147.649994,146.080841,1492200
